Date Saved,10/24/2024 3:13:31 PM
Spectral Data 713[nm],0.027583504096
Spectral Data 714[nm],0.026763182133
Spectral Data 715[nm],0.025957489386
Spectral Data 716[nm],0.025167040527
Spectral Data 717[nm],0.024405542761
Spectral Data 718[nm],0.023697258905
Spectral Data 719[nm],0.023066677153
Spectral Data 720[nm],0.022536445409
Spectral Data 721[nm],0.022097423673
Spectral Data 722[nm],0.021713279188
Spectral Data 723[nm],0.021346775815
Spectral Data 724[nm],0.020961724222
Spectral Data 725[nm],0.020541129634
Spectral Data 726[nm],0.020084848627
Spectral Data 727[nm],0.019593309611
Spectral Data 728[nm],0.019067281857
Spectral Data 729[nm],0.018514074385
Spectral Data 730[nm],0.017946891487
Spectral Data 731[nm],0.017379146069
Spectral Data 732[nm],0.016824306920
Spectral Data 733[nm],0.016297008842
Spectral Data 734[nm],0.015812961385
Spectral Data 735[nm],0.015387912281
Spectral Data 736[nm],0.015036429279
Spectral Data 737[nm],0.014748333953
Spectral Data 738[nm],0.014489959925
Spectral Data 739[nm],0.014226712286
Spectral Data 740[nm],0.013924967498
Spectral Data 741[nm],0.013572409749
Spectral Data 742[nm],0.013177482411
Spectral Data 743[nm],0.012749487534
Spectral Data 744[nm],0.012297860347
Spectral Data 745[nm],0.011835016310
Spectral Data 746[nm],0.011376352049
Spectral Data 747[nm],0.010937396437
Spectral Data 748[nm],0.010533436202
Spectral Data 749[nm],0.010175311938
Spectral Data 750[nm],0.009869311005
Spectral Data 751[nm],0.009621451609
Spectral Data 752[nm],0.009437151253
Spectral Data 753[nm],0.009306729771
Spectral Data 754[nm],0.009204182774
Spectral Data 755[nm],0.009102656506
Spectral Data 756[nm],0.008975754492
Spectral Data 757[nm],0.008809850551
Spectral Data 758[nm],0.008605496958
Spectral Data 759[nm],0.008363986388
Spectral Data 760[nm],0.008086726069
Spectral Data 761[nm],0.007778562140
Spectral Data 762[nm],0.007448257878
Spectral Data 763[nm],0.007104789838
Spectral Data 764[nm],0.006757307332
Spectral Data 765[nm],0.006420303602
Spectral Data 766[nm],0.006114524789
Spectral Data 767[nm],0.005861070007
Spectral Data 768[nm],0.005680247676
Spectral Data 769[nm],0.005566424225
Spectral Data 770[nm],0.005482814740
Spectral Data 771[nm],0.005390791222
Spectral Data 772[nm],0.005252599716
Spectral Data 773[nm],0.005060768221
Spectral Data 774[nm],0.004845149815
Spectral Data 775[nm],0.004637898412
Spectral Data 776[nm],0.004470941611
Spectral Data 777[nm],0.004367825575
Spectral Data 778[nm],0.004341491964
Spectral Data 779[nm],0.004404202569
Spectral Data 780[nm],0.004567239899

TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,0.9796636,0.200647,0.9788043,0.2005401
bin2,0.8199848,0.5723853,0.8235446,0.575591
bin3,0.5801961,0.8144768,0.5800474,0.8180526
bin4,0.1852573,0.98269,0.1851328,0.9862422
bin5,-0.08892438,0.9960384,-0.09490331,1.003317
bin6,-0.5141509,0.8576998,-0.5241058,0.8614382
bin7,-0.8401542,0.5423476,-0.8502886,0.5431474
bin8,-0.9925277,0.1220193,-1.003315,0.1228575
bin9,-0.9889187,-0.1484583,-1.000266,-0.1477401
bin10,-0.8344642,-0.5510622,-0.8451625,-0.5469052
bin11,-0.5768138,-0.8168756,-0.5848753,-0.8142388
bin12,-0.1860941,-0.9825319,-0.197865,-0.986003
bin13,0.1496617,-0.9887373,0.1415101,-0.9915727
bin14,0.6386594,-0.7694896,0.6374847,-0.7735047
bin15,0.8098609,-0.586622,0.8044442,-0.5879492
bin16,0.983361,-0.1816623,0.9886582,-0.1809233
